"Preservation","Taxon","ship_EM","ship_FM","ship_DM","ship_DM_I","LOM","no_ind","AFDM_ind","DM_ind","FM_ind"
"preserved","Trichoptera",129.28,NA,131.21,129.34,0.13,3,0.58,0.64,3.22
"preserved","Trichoptera",121.58,NA,123.9,121.67,0.13,4,0.52,0.58,3.07
"preserved","Trichoptera",121.96,NA,122.71,122.02,0.13,1,0.56,0.75,2.9
"preserved","Trichoptera",136.73,NA,138.4,136.84,0.13,4,0.36,0.42,2.88
"unpreserved","Trichoptera",119.12,122.84,120.33,119.17,0.13,5,0.21,0.24,0.74
"unpreserved","Trichoptera",116.53,126.54,118.11,116.65,0.13,2,0.66,0.79,5.01
"unpreserved","Trichoptera",122.66,184.1,135.11,123.57,0.13,2,5.71,6.23,30.72
"unpreserved","Trichoptera",116.19,174.23,128.52,117.07,0.13,2,5.66,6.17,29.02
"unpreserved","Trichoptera",88.73,113.06,94.24,89.08,0.13,1,5.03,5.51,24.33
"unpreserved","Trichoptera",122.1,132.86,124.97,122.28,0.13,3,0.85,0.96,3.59
"unpreserved","Trichoptera",121.95,132.01,124.64,122.11,0.13,3,0.8,0.9,3.35
"unpreserved","Trichoptera",117.29,127.99,120.28,117.48,0.13,3,0.89,1,3.57
"unpreserved","Trichoptera",118.48,131.97,122.32,118.71,0.13,4,0.87,0.96,3.37
"unpreserved","Trichoptera",115.53,117,115.92,115.56,0.13,1,0.23,0.39,1.47
"unpreserved","Trichoptera",116.72,126.94,118.46,116.86,0.13,4,0.37,0.43,2.56
